text,label
"KPLC PREPAID PAYBILL 500.0",3
"NAIVAS RIVERSIDE BUY_GOODS 1200.0",2
"JOHN MATHEGE SEND_MONEY 300.0",5
"PETER NDUNGU RECEIVED_MONEY 5000.0",5
"OILIBA TRM BUY_GOODS 1000.0",4
"SHELL THIKA RD BUY_GOODS 2500.0",4
"BOLT APP ONLINE PAYBILL 350.0",4
"JAVA HOUSE BUY_GOODS 1500.0",2
"CLEANSHELF SUPERMARKET BUY_GOODS 3400.0",2
"SAFARICOM HOME PAYBILL 2999.0",3
"ZUKU RESIDENTIAL PAYBILL 2499.0",3
"QUICKMART BUY_GOODS 650.0",2
"MARY WANJIKU SEND_MONEY 150.0",5
"LITTLE CAB PAYBILL 400.0",4
"Safaricom Airtime/Data BUY_AIRTIME 100.0",3
"123456 - KINYANJUI AGENT WITHDRAW_CASH 2000.0",6
